word,translation,pronunciation,example,topic,part of speech,attempts,successes
saluton,hello,sah-loo-tohn,Saluton! Kiel vi fartas?,misc,noun,1,0
bonan matenon,good morning,boh-nahn mahteh-nohn,Bonan matenon! Kiel vi dormis?,misc,noun,2,0
dankon,thank you,dahn-kohn,Dankon pro via helpo!,misc,noun,1,0
kiel,how,kee-el,Kiel vi fartas?,misc,adverb,2,0
Mi,I,mee,Mi parolas Esperanton.,misc,pronoun,1,0
sian,his/her/its/one's,see-ahn,Li montras sian amon.,misc,pronoun,4,0
ke,that,keh,Mi scias  ke vi estas prava.,misc,conjunction,1,0
li,he,lee,Li estas tre talenta.,misc,pronoun,2,0
estis,was,eh-stees,Li estis feliĉa hieraŭ.,misc,verb,1,0
por,for,pohr,Mi faras tion por vi.,misc,preposition,7,2
sur,on,soor,La libro estas sur la tablo.,misc,preposition,0,0
estas,is,eh-stahs,Ĝi estas bela.,misc,verb,3,0
kun,with,koon,Mi iros kun vi.,misc,preposition,0,0
ili,they,ee-lee,Ili estas miaj amikoj.,misc,pronoun,1,0
esti,to be,eh-stee,Mi esperas esti feliĉa.,misc,verb,1,0
ĉe,at,cheh,Mi loĝas ĉe mia amiko.,misc,preposition,1,0
havos,will have,hah-vohs,Mi havos tempon por viziti vin.,misc,verb,1,0
tiu,that,tee-oo,Tiu estas mia domo.,misc,pronoun,1,0
el,from,ehl,Mi ricevis leteron el Germanio.,misc,preposition,1,0
per,by,pehr,Mi skribis la leteron per plumo.,misc,preposition,1,0
varmega,hot,var-meh-gah,Estas varmega somero.,misc,adjective,0,0
sed,but,sehd,Mi volas iri  sed mi ne havas tempon.,misc,conjunction,1,0
kio,what,kee-oh,Kio estas via nomo?,misc,pronoun,3,0
iuj,some,ee-ooy,Mi konas iujn el ili.,misc,adjective,1,0
ĝi,it,jee,Ĝi estas interesanta.,misc,pronoun,3,0
vi,you,vee,Vi estas tre aminda.,misc,pronoun,1,0
la,the,lah,La suno brilas.,misc,article,3,0
por,for,pohr,Mi faras tion por vi.,misc,preposition,7,2
de,from,deh,La libro estas de mi.,misc,preposition,1,0
kaj,and,kai,Mi ŝatas legi kaj skribi.,misc,conjunction,3,1
kaj,and,kahy,Mi ŝatas legi kaj skribi.,misc,conjunction,3,1
juna,young,yoo-nah,La juna knabo amas ludi.,misc,adjective,0,0
granda,big,grahn-dah,La elefanto estas granda besto.,misc,adjective,0,0
verda,green,vehr-dah,La arboj estas verdoj en la printempo.,colour,adjective,21,12
kolekti,to collect,koh-lehk-tee,Mi kolektas poŝtmarkojn.,hobbies,verb,4,0
lerni,to learn,lehrr-nee,Mi volas lerni novan lingvon.,misc,verb,1,0
manĝi,to eat,mahng-ee,Mi manĝas fruktojn por sanigi min.,food,verb,0,0
vojaĝi,to travel,voyah-jee,Mi amas vojaĝi kaj vidi novajn lokojn.,hobbies,verb,1,0
dormi,to sleep,dohrr-mee,Mi bezonas dormi oka horojn ĉiun nokton.,misc,verb,0,0
tago,day,tah-goh,Hodiaŭ estas bela tago por iri eksteren.,time,noun,1,1
nokto,night,nohk-toh,La steloj brilas en la nokto.,time,noun,0,0
rivero,river,ree-veh-roh,La rivero fluas tra la arbaro.,nature,noun,4,0
maro,sea,mah-roh,La maro estas granda kaj profunda.,nature,noun,2,0
sarki,archery,sahr-kee,Mi ŝatas praktiki sarkion en mia libera tempo.,hobbies,noun,1,0
pikniki,to have a picnic,peek-nee-kee,Mi amuziĝas piknikante kun mia familio.,hobbies,verb,2,0
arbo,tree,ahr-boh,Sub la arbo mi trovis ombregon.,nature,noun,4,2
herbo,grass,hehr-boh,La herbo estas verda post la pluvo.,nature,noun,5,0
montoĉeno,mountain range,mohn-tah-roh,La montaro estas spektakla vidindaĵo.,nature,noun,3,0
flugo,butterfly,floo-go,La flugoj de la flugiloj estas belaj.,nature,noun,1,0
sovaĝa,wild,soh-vah-jah,La sovaĝaj bestoj vivas senlimige.,nature,adjective,1,1
ĝardeno,garden,jahr-deh-noh,Mi laboras en mia bela ĝardeno.,nature,noun,2,1
roko,rock,roh-ko,La rokoj staras fikse sur la tero.,nature,noun,3,2
ĉielo,sky,chee-eh-loh,La ĉielo estas plena de steloj.,nature,noun,0,0
vivo,life,vee-vo,La naturo estas plena de diverseco de vivo.,nature,noun,1,0
sunlumo,sunlight,soon-loo-moh,La sunlumo bategas tra la fenestro.,nature,noun,0,0
rano,toad,hehr-boh,La herbo saltas kaj bruligas.,nature,noun,5,0
roko,rock,roh-ko,La roko estas ruĝa kaj malvarma.,nature,noun,3,2
grundo,ground,groon-doh,La grundo estas mokebla post la pluvo.,nature,noun,2,0
floro,flower,flo-roh,La floroj blovas en la printempo.,nature,noun,2,1
lago,lake,lah-go,La lago estas profunda kaj klara.,nature,noun,3,0
monto,mountain,mohn-toh,La montoj estas majestaj kaj altegaj.,nature,noun,1,0
suno,sun,soo-noh,La suno leviĝas en la oriento.,nature,noun,4,1
nubo,cloud,noo-boh,La nuboj kovras la bluan ĉielon.,nature,noun,0,0
pluvo,rain,ploo-vo,La pluvo falas delikate sur la teron.,nature,noun,2,0
vento,wind,ven-toh,La vento blovas vigle tra la kampo.,nature,noun,3,1
hundo,dog,hoon-doh,Mia hundo estas tre afabla.,animals,noun,1,0
kato,cat,kah-toh,La kato dormas sur la fenestrobreto.,animals,noun,1,0
birdo,bird,beer-doh,La birdoj kantis dolĉe en la arboj.,animals,noun,0,0
fiŝo,fish,fee-shoh,Mi manĝas freŝajn fiŝojn ĉe la marbordo.,animals,noun,1,0
leono,lion,leh-oh-noh,La leono estas la reĝo de la savano.,animals,noun,1,0
elefanto,elephant,eh-leh-fahn-toh,La elefanto estas grandega kaj potenca.,animals,noun,1,0
pingveno,penguin,peeng-veh-noh,La pingvenoj vivas en malvarmaj regionoj.,animals,noun,0,0
ŝafo,sheep,shah-foh,La ŝafoj paŝtas sur la verda herbejo.,animals,noun,1,0
tigro,tiger,tee-groh,La tigro saltis el la densa arbaro.,animals,noun,1,0
ĉevalo,horse,cheh-vah-loh,Mi amas rajdi sur mia ĉevalo.,animals,noun,0,0
ruĝa,red,roo-jah,La ruĝaj floroj brilas en la kampo.,animals,adjective,2,0
serpento,snake,ser-pen-toh,La serpento svingis sian korpon.,animals,noun,0,0
kuniklo,rabbit,koo-nee-kloh,La kuniklo saltis rapide inter la arboj.,animals,noun,0,0
simio,monkey,see-mee-oh,La simioj svingiĝas de branĉo al branĉo.,animals,noun,4,0
birdo,bird,beer-doh,La birdoj flugis en formo de V.,animals,noun,0,0
lundo,Monday,loohn-doh,Mi renkontos vin lundon matene.,time,noun,4,1
mardo,Tuesday,mahr-doh,La renkontiĝo estas mardon vespere.,time,noun,0,0
merkredo,Wednesday,mer-kreh-doh,Mi havas renkonton ĉiun merkredon.,time,noun,0,0
ĵaŭdo,Thursday,zhah-oo-doh,Mi planas viziti vin ĵaŭdon posttagmeze.,time,noun,0,0
vendredo,Friday,ven-dreh-doh,Mi finos mian laboron vendredon vespere.,time,noun,3,0
sabato,Saturday,sah-bah-toh,La festo okazos sabaton matene.,time,noun,1,1
dimanĉo,Sunday,dee-mahn-choh,Dimanĉo estas la tago por ripozi kaj relaxi.,time,noun,1,0
antaŭ,before,ahn-taow,Mi venos antaŭ la vespermanĝo.,time,preposition,4,0
post,after,post,Mi renkontos vin post la tagmezumo.,time,preposition,1,0
dum,during,doom,Mi loĝis tie dum unu semajno.,time,preposition,3,0
ĝis,until,jees,Mi laboris ĝis la noktomezo.,time,preposition,2,0
mi parolas Esperanton,I speak Esperanto,mee pah-roh-lahs eh-speh-rahn-tohn,Mi parolas Esperanton por pliigi miajn lingvajn kapablojn.,language,phrase,3,0
lingvo,language,ling-vo,Mi studas la Esperantan lingvon.,language,noun,0,0
paroli,to speak,paro-lee,Ĉu vi parolas Esperanton?,language,verb,1,0
vortaro,dictionary,vor-tah-ro,Mi uzas vortaron por trovi vortojn.,language,noun,3,0
traduki,to translate,tra-doo-kee,Mi povas traduki tekston de Esperanto al Angla.,language,verb,1,0
hispana,Spanish,hees-pah-na,Mi lernas la hispanan lingvon.,language,adjective,0,0
itala,Italian,ee-tah-la,Ĉu vi parolas la italan?,language,adjective,1,0
germana,German,ger-mah-na,Mi studas la germanan lingvon.,language,adjective,1,1
franca,French,frahn-tsa,Mi volas lerni la francan lingvon.,language,adjective,0,0
ĉina,Chinese,chee-na,Mi estas komencanto en la ĉina.,language,adjective,4,0
rusa,Russian,roo-sa,La rusa estas malfacila lingvo.,language,adjective,1,0
portugala,Portuguese,por-too-gah-la,Mi scias la bazojn de la portugala.,language,adjective,1,0
japana,Japanese,jah-pah-na,Mi ŝatas la japana kulturon.,language,adjective,0,0
greka,Greek,greh-ka,La greka lingvo estas antikva kaj interesa.,language,adjective,2,0
hindia,Hindi,heen-dee-a,Mi deziras lerni la hindian lingvon.,language,adjective,2,0
kimra,Welsh,keem-rah,Mi ŝatas la kimran kulturon kaj tradiciojn.,language,adjective,3,0
aŭto,car,ow-toh,Mia aŭto ne funkcias hodiaŭ.,transportation,noun,5,0
aŭto,car,ow-toh,Mia aŭto estas ruĝa.,transportation,noun,5,0
trajno,train,trahy-no,Mi veturos per trajno al la urbo.,transportation,noun,4,0
ŝipo,ship,shee-poh,Ŝipoj naĝas sur la maro.,transportation,noun,2,0
avio,airplane,ah-vee-oh,La avio flugas rapide.,transportation,noun,1,0
buso,bus,boo-so,Mi prenos la buson por iri al la centro.,transportation,noun,0,0
biciklo,bicycle,bee-tsee-klo,Mi ŝatas veturi per biciklo.,transportation,noun,0,0
moto, motorcycle,mo-toh,Mia amiko ŝatas veturi per moto.,transportation,noun,1,0
ŝarĝaŭto,truck,shahr-jow-toh,La ŝarĝaŭto transpordas varojn.,transportation,noun,1,0
veturilo,vehicle,vetoo-ree-lo,Mi ne povas elekti mian plej ŝatatan veturilon.,transportation,noun,0,0
helikoptero,helicopter,hel-ee-kop-teh-ro,La helikoptero flugas super la urbo.,transportation,noun,0,0
